Name,Type,Product,Activity
Biogas Auto-Thermal Reforming,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane"
Biogas Auto-Thermal Reforming with Carbon Capture,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane, with CCS"
Biogas Auto-Thermal Reforming with Carbon Capture (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Biogas Auto-Thermal Reforming with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Biogas Auto-Thermal Reforming (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Biogas Auto-Thermal Reforming (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Biomass to Biomethane,Construction,"chemical factory, organics","market for chemical factory, organics"
Biomass to Biomethane,Operation,"biomethane, from biogas upgrading, using amine scrubbing","biomethane production, from biogas upgrading, using amine scrubbing"
Biogas Steam Methane Reforming,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane"
Biogas Steam Methane Reforming with Carbon Capture,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane, with CCS"
Biogas Steam Methane Reforming with Carbon Capture (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Biogas Steam Methane Reforming with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Biogas Steam Methane Reforming (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Biogas Steam Methane Reforming (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Hydrogen from Biomass Gasification Entrained Flow ,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant"
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant"
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture (plant),Construction,synthetic gas factory,synthetic gas factory construction
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Hydrogen from Biomass Gasification Entrained Flow  (plant),Construction,synthetic gas factory,synthetic gas factory construction
Hydrogen from Biomass Gasification Entrained Flow  (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Hydrogen from Biomass Gasification Fuidized Bed ,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant"
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant"
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture (plant),Construction,synthetic gas factory,synthetic gas factory construction
Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Hydrogen from Biomass Gasification Fuidized Bed  (plant),Construction,synthetic gas factory,synthetic gas factory construction
Hydrogen from Biomass Gasification Fuidized Bed  (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
100% BioDiesel-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
100% BioDiesel-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
20% BioDiesel-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
20% BioDiesel-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
Compressed Natural Gas-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
Compressed Natural Gas-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
Diesel-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
Diesel-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
Electric-Powered Bus,Construction,passenger bus,"passenger bus, battery electric - overnight charging, 13m double deck urban bus"
Electric-Powered Bus,Operation,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m double deck urban bus"
Hydrogen Fuel Cell-Powered Bus,Construction,passenger bus,"passenger bus, fuel cell electric, 13m double deck urban bus"
Hydrogen Fuel Cell-Powered Bus,Operation,"transport, passenger bus","transport, passenger bus, fuel cell electric, 13m double deck urban bus"
Gasoline-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI"
Gasoline-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI"
Diesel Hybrid Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI"
Diesel Hybrid Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m double deck urban bus, EURO-VI"
Propane-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
Propane-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
100% BioDiesel-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Medium, EURO-6ab"
100% BioDiesel-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Medium, EURO-6ab"
20% BioDiesel-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Medium, EURO-6ab"
20% BioDiesel-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Medium, EURO-6ab"
Compressed Natural Gas-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Medium, EURO-6ab"
Compressed Natural Gas-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Medium, EURO-6ab"
Diesel-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Medium, EURO-6ab"
Diesel-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Medium, EURO-6ab"
Ethanol-Powered Car (E10 Blend),Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
Ethanol-Powered Car (E10 Blend),Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
Ethanol-Powered Car with E85 Blend,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
Ethanol-Powered Car with E85 Blend,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
Electric-Powered Car,Operation,"transport, passenger car","transport, passenger car, battery electric, Medium"
Electric-Powered Car,Construction,passenger car,"passenger car, battery electric, Medium"
Fuel Cell-Powered Car with Hydrogen,Construction,passenger car,"passenger car, fuel cell electric, Medium"
Fuel Cell-Powered Car with Hydrogen,Operation,"transport, passenger car","transport, passenger car, fuel cell electric, Medium"
Gasoline-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
Gasoline-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
Hybrid Electric Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Medium, EURO-6ab"
Hybrid Electric Car,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Medium, EURO-6ab"
Methanol-Powered Car ,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
Methanol-Powered Car ,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
Plug-in Hybrid Electric Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab"
Plug-in Hybrid Electric Car,Construction,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Medium, EURO-6ab"
Propane-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Medium, EURO-6ab"
Propane-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Medium, EURO-6ab"
Combined Cycle Gas Turbine,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Combined Cycle Gas Turbine,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant"
Combined Cycle Gas Turbine with Carbon Capture,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m"
Combined Cycle Gas Turbine with Carbon Capture,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Cement Production,Operation,"cement, CEM II/B","cement production, CEM II/B"
Cement Production,Construction,cement factory,cement factory construction
Cement Production (heat pump),Operation,"cement, CEM II/B","cement production, CEM II/B"
Cement Production (heat pump),Construction,cement factory,cement factory construction
Conversion of CO2 to Methanol,Operation,methanol,"methanol production, natural gas reforming"
Conversion of CO2 to Methanol,Construction,methanol factory,methanol factory construction
CO2 Storage (input),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Conversion of CO2 to Diesel,Operation,"diesel, synthetic","diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation"
Conversion of CO2 to Diesel,Construction,petroleum refinery,petroleum refinery construction
Conversion of CO2 to Jet Fuels,Operation,"kerosene, synthetic","kerosene production, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation"
Conversion of CO2 to Jet Fuels,Construction,petroleum refinery,petroleum refinery construction
100% BioDiesel-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
100% BioDiesel-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
20% BioDiesel-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
20% BioDiesel-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
Compressed Natural Gas-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
Compressed Natural Gas-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
Diesel-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
Diesel-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
10% Ethanol-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
10% Ethanol-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
Electric-Powered Coach,Operation,"transport, passenger bus","transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus"
Electric-Powered Coach,Construction,passenger bus,"passenger bus, battery electric - overnight charging, 13m single deck urban bus"
Gasoline-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
Gasoline-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
Diesel Hybrid Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI"
Diesel Hybrid Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI"
Propane-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
Propane-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
Hydrogen from Coal Gasification,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification"
Hydrogen from Advanced Coal Gasification,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification"
Hydrogen from Advanced Coal Gasification with Carbon Capture,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification, with CCS"
Hydrogen from Advanced Coal Gasification with Carbon Capture (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Hydrogen from Advanced Coal Gasification with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Hydrogen from Advanced Coal Gasification (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Hydrogen from Advanced Coal Gasification (storage tank),Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Hydrogen from Coal Gasification with Carbon Capture,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification, with CCS"
Hydrogen from Coal Gasification with Carbon Capture (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Hydrogen from Coal Gasification with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Hydrogen from Coal Gasification (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Hydrogen from Coal Gasification (storage tank),Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Integrated Gasification Combined Cycle,Construction,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW
Integrated Gasification Combined Cycle,Operation,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant"
Integrated Gasification Combined Cycle with Carbon Capture,Construction,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW
Integrated Gasification Combined Cycle with Carbon Capture,Operation,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m"
Coal Ultra-Supercritical,Operation,"electricity, high voltage","electricity production, at lignite-fired power plant, pulverised"
Coal Ultra-Supercritical,Construction,lignite power plant,market for lignite power plant
Coal Ultra-Supercritical with Carbon Capture,Operation,"electricity, high voltage","electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m"
Coal Ultra-Supercritical with Carbon Capture,Construction,lignite power plant,market for lignite power plant
Diesel-Powered Commuter Train,Construction,"train, passenger, regional","train production, passenger, regional"
Diesel-Powered Commuter Train,Operation,"transport, passenger train","transport, passenger train"
Electric-Powered Commuter Train,Construction,"train, passenger, regional","train production, passenger, regional"
Electric-Powered Commuter Train,Operation,"transport, passenger train","transport, passenger train, regional"
Conversion of Crops to Ethanol,Operation,"ethanol, from corn","ethanol production, via fermentation, from corn, energy allocation"
Conversion of Crops to Ethanol,Construction,ethanol fermentation plant,market for ethanol fermentation plant
Conversion of Crops to Jet Fuels,Operation,"kerosene, synthetic","kerosene production, synthetic, Fischer Tropsch process, hydrogen from wood gasification, energy allocation"
Conversion of Crops to Jet Fuels,Construction,petroleum refinery,petroleum refinery construction
Cumene Production Process,Construction,"chemical factory, organics","chemical factory construction, organics"
Cumene Production Process,Operation,cumene,"cumene production, benzene alkylation"
Direct Air Capture at High Temperature,Operation,"carbon dioxide, captured from atmosphere","carbon dioxide, captured from atmosphere, with a sorbent-based direct air capture system, 100ktCO2"
Direct Air Capture at High Temperature (plant),Construction,direct air capture system,"direct air capture system, sorbent-based, 100ktCO2"
Direct Air Capture at High Temperature (plant decommissioning),Construction,direct air capture system,"treatment of direct air capture system, sorbent-based, 100ktCO2"
Direct Air Capture at Low Temperature,Operation,"carbon dioxide, captured from atmosphere","carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2"
Direct Air Capture at Low Temperature (plant),Construction,direct air capture system,"direct air capture system, solvent-based, 1MtCO2"
Direct Air Capture at Low Temperature (plant decommissioning),Construction,direct air capture system,"treatment of direct air capture system, solvent-based, 1MtCO2"
Decentralized Cogeneration with Hydrogen,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
Decentralized Cogeneration with Hydrogen,Construction,"fuel cell, polymer electrolyte membrane, 2kW electrical, future","fuel cell production, polymer electrolyte membrane, 2kW electrical, future"
Decentralized Boiler with Gas Combustion,Operation,"heat, central or small-scale, natural gas","heat production, natural gas, at boiler modulating <100kW"
Decentralized Boiler with Gas Combustion,Construction,gas boiler,gas boiler production
Decentralized Boiler with Oil Combustion,Operation,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating"
Decentralized Boiler with Oil Combustion (boiler),Construction,"oil boiler, 10kW","oil boiler production, 10kW"
Decentralized Boiler with Oil Combustion (storage tank),Construction,"oil storage, 3000l","market for oil storage, 3000l"
Decentralized Boiler with Wood Combustion,Construction,"furnace, wood chips, hardwood storage area, 50kW","furnace production, wood chips, hardwood storage area, 50kW"
Decentralized Boiler with Wood Combustion,Operation,"heat, central or small-scale, other than natural gas","heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014"
Decentralized Cogeneration with Gas Combustion,Operation,"heat, central or small-scale, natural gas","heat and power co-generation, natural gas, 50kW electrical, lean burn"
"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)",Construction,"heat and power co-generation unit, 50kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 50kW electrical, common components for heat+electricity"
"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for electricity)",Construction,"heat and power co-generation unit, 50kW electrical, components for electricity only","heat and power co-generation unit construction, 50kW electrical, components for electricity only"
"Decentralized Cogeneration with Gas Combustion (co-generation unit, components for heat)",Construction,"heat and power co-generation unit, 50kW electrical, components for heat only","heat and power co-generation unit construction, 50kW electrical, components for heat only"
Decentralized Cogeneration with Oil Combustion,Operation,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating"
Decentralized Cogeneration with Oil Combustion (boiler),Construction,"oil boiler, 10kW","oil boiler production, 10kW"
Decentralized Cogeneration with Oil Combustion (storage tank),Construction,"oil storage, 3000l","market for oil storage, 3000l"
Decentralized Cogeneration with Oil Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
Decentralized Cogeneration with Wood Combustion,Operation,"heat, central or small-scale, other than natural gas","heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014"
Decentralized Cogeneration with Wood Combustion (boiler),Construction,"furnace, wood chips, hardwood storage area, 50kW","furnace production, wood chips, hardwood storage area, 50kW"
Decentralized Cogeneration with Wood Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
Decentralized Direct Electricity,Construction,"auxiliary heating unit, electric, 5kW","auxiliary heating unit production, electric, 5kW"
Decentralized Direct Electricity,Operation,"electricity, low voltage","market for electricity, low voltage"
Decentralized Heat Pump Electricity ,Construction,"heat pump, brine-water, 10kW","heat pump production, brine-water, 10kW"
Decentralized Heat Pump Electricity ,Operation,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW"
Decentralized Solar Thermal ,Construction,"flat plate solar collector, Cu absorber","flat plate solar collector production, Cu absorber"
Decentralized Thermal Gas Heat Pump,Operation,"heat, future","heat production, natural gas, at diffusion absorption heat pump 4kW, future"
Decentralized Thermal Gas Heat Pump (heat exchanger),Construction,"borehole heat exchanger, 150m","borehole heat exchanger production, 150m"
Decentralized Thermal Gas Heat Pump (heat pump),Construction,"heat pump, diffusion absorption, 4kW, future","heat pump production, diffusion absorption, 4kW, future"
Decentralized Thermal Storage,Construction,"thermal storage system, solar tower power plant, 20 MW","thermal storage system construction, solar tower power plant, 20 MW"
Deep Saline Carbon Sequestration,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
District Heating Network Boiler with Gas Combustion,Construction,"industrial furnace, natural gas","market for industrial furnace, natural gas"
District Heating Network Boiler with Gas Combustion,Operation,"heat, district or industrial, natural gas","heat production, natural gas, at boiler modulating >100kW"
District Heating Network Boiler with Oil Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, light fuel oil, at industrial furnace 1MW"
District Heating Network Boiler with Oil Combustion (boiler),Construction,"industrial furnace, 1MW, oil","industrial furnace production, 1MW, oil"
District Heating Network Boiler with Oil Combustion (storage tank),Construction,"oil storage, 3000l","oil storage production, 3000l"
District Heating Network Boiler with Wood Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014"
District Heating Network Boiler with Wood Combustion (boiler),Construction,"furnace, wood chips, with silo, 1000kW","furnace production, wood chips, with silo, 1000kW"
District Heating Network Boiler with Wood Combustion (dust collector),Construction,"dust collector, electrostatic precipitator, for industrial use","market for dust collector, electrostatic precipitator, for industrial use"
District Heating Network Cogeneration with Gas Combustion,Operation,"heat, district or industrial, natural gas","heat and power co-generation, natural gas, 1MW electrical, lean burn"
"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for heat and electricity)",Construction,"heat and power co-generation unit, 1MW electrical, common components for heat+electricity","heat and power co-generation unit construction, 1MW electrical, common components for heat+electricity"
"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for electricity)",Construction,"heat and power co-generation unit, 1MW electrical, components for electricity only","heat and power co-generation unit construction, 1MW electrical, components for electricity only"
"District Heating Network Cogeneration with Gas Combustion (co-generation unit, components for heat)",Construction,"heat and power co-generation unit, 1MW electrical, components for heat only","heat and power co-generation unit construction, 1MW electrical, components for heat only"
District Heating Network Cogeneration with Waste Combustion,Operation,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
District Heating Network Cogeneration with Waste Combustion (boiler),Construction,municipal waste incineration facility,municipal waste incineration facility construction
District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Operation,"heat, district or industrial, other than natural gas","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas"
District Heating Network Cogeneration with Waste Combustion with Carbon Capture (boiler),Construction,municipal waste incineration facility,municipal waste incineration facility construction
District Heating Network Cogeneration with Waste Combustion with Carbon Capture (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
District Heating Network Cogeneration with Waste Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
District Heating Network Cogeneration with Wood Combustion,Operation,"heat, district or industrial, other than natural gas","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014"
District Heating Network Cogeneration with Wood Combustion (boiler),Construction,"furnace, wood chips, with silo, 5000kW","furnace production, wood chips, with silo, 5000kW"
District Heating Network Cogeneration with Wood Combustion (dust collector),Construction,"dust collector, electrostatic precipitator, for industrial use","market for dust collector, electrostatic precipitator, for industrial use"
District Heating Network Cogeneration with Wood Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 1000kW electrical","market for heat and power co-generation unit, organic Rankine cycle, 1000kW electrical"
District Heating Network with Deep Geothermal Heat,Operation,"heat, deep geothermal","heat production, deep geothermal"
District Heating Network with Deep Geothermal Heat,Construction,geothermal heat plant,geothermal heat plant construction
District Heating Network with Heat Pump Electricity,Operation,"heat, central or small-scale, other than natural gas","heat production, at heat pump 30kW, allocation exergy"
District Heating Network with Heat Pump Electricity,Construction,"heat pump, 30kW","heat pump production, 30kW"
District Heating Network Thermal Storage,Construction,"thermal storage system, solar tower power plant, 20 MW","thermal storage system construction, solar tower power plant, 20 MW"
Diesel to Storage,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics"
Direct Usage of stored CO2 ,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
Deep Oil Reservoir Gas Recovery,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
Electric Grid at Extra High Voltage,Construction,"transmission network, electricity, high voltage","transmission network construction, electricity, high voltage"
Electricity Storage,Construction,"battery, Li-ion, LiMn2O4, rechargeable, prismatic","market for battery, Li-ion, LiMn2O4, rechargeable, prismatic"
Enhanced Oil Recovery,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
Ethane Cracking Process,Operation,ethane,natural gas liquids fractionation
Ethane Cracking Process,Construction,"chemical factory, organics","chemical factory construction, organics"
